종목코드,종목명,자산군_대,자산군_중,자산군_소
1710400,ETF매도미수금,유동성,외화 유동성,외화 유동성
AU000000I0Z4,ISHARES CORE S&P/ASX 200 ETF,주식,호주 주식,호주 주식
AUMAUD002001,AUD CALL,유동성,외화 유동성,외화 유동성
KR7152380002,KODEX 국채선물10년,채권,한국 채권,한국 10년국고채권
KR7273130005,KODEX 종합채권(AA-이상)액티브,채권,한국 채권,한국 종합채권
KR7356540005,ACE 종합채권(AA-이상)KIS액티브,채권,한국 채권,한국 종합채권
KR7385540000,KBSTAR 종합채권(A-이상)액티브,채권,한국 채권,한국 종합채권
KR7385550009,KBSTAR 단기종합채권(AA-이상)액티브,채권,한국 채권,한국 단기채권
KR9999990000,예금잔고,유동성,원화 유동성,원화 유동성
US46090F1003,INVESCO OPTIMUM YIELD DIVERS,대체,원자재,글로벌 원자재
US4642861037,ISHARES MSCI AUSTRALIA ETF,주식,호주 주식,호주 주식
US4642871762,ISHARES BARCLAYS TIPS BOND,채권,미국 채권,미국 물가채권
US78463X8552,SPDR S&P Global Infrastructure,대체,인프라,글로벌 인프라
US9219438580,VANGUARD FTSE DEVELOPED ETF,주식,선진국 주식,선진국 주식
US9220426764,VANGUARD GLBL EX-US REAL EST,대체,부동산,미국외 부동산
US9220428588,VANGUARD FTSE EMERGING MARKETS,주식,신흥국 주식,신흥국 주식
US9229085538,VANGUARD REIT ETF,대체,부동산,미국 부동산
US9229087369,VANGUARD GROWTH ETF,주식,미국 주식,미국 성장주
US9229087443,VANGUARD VALUE ETF,주식,미국 주식,미국 가치주
USMUSD022001,USD CALL,유동성,외화 유동성,외화 유동성
KR7411060007,ACE KRX금현물,대체,원자재,금
KR7332500008,ACE 200TR,주식,한국 주식,한국 주식
KR7365780006,ACE 국고채10년,채권,한국 채권,한국 10년국고채권
KR7438570004,SOL 국고채10년,채권,한국 채권,한국 10년국고채권
KR7471230003,KODEX 국고채10년액티브,채권,한국 채권,한국 10년국고채권
US78463V1070,SPDR Gold Trust,대체,원자재,금
US78468R6229,SPDR Bloomberg High Yield Bond ETF,채권,미국 채권,미국 하이일드채권
032280007J48,한국투자MySuper수익추구증권모투자신탁(혼,07J48,07J48,07J48
032280007J49,한국투자MySuper인컴추구증권모투자신탁(채,07J49,07J49,07J49
1710400,ETF매도미수금,유동성,외화 유동성,외화 유동성
1711700,집합투자증권매도미수금,유동성,원화 유동성,원화 유동성
HKMHKD002001,HKD CALL,유동성,외화 유동성,외화 유동성
KR7190620005,ACE 단기통안채,채권,한국 채권,한국 단기채권
KR7272570003,KBSTAR 중장기국공채액티브,채권,한국 채권,한국 중장기국공채권
KR7272910001,ACE 중장기국공채액티브,채권,한국 채권,한국 중장기국공채권
KR7273130005,KODEX 종합채권(AA-이상)액티브,채권,한국 채권,한국 종합채권
KR7356540005,ACE 종합채권(AA-이상)KIS액티브,채권,한국 채권,한국 종합채권
KR7365780006,ACE 국고채10년,채권,한국 채권,한국 10년국고채권
KR7385540000,KBSTAR 종합채권(A-이상)액티브,채권,한국 채권,한국 종합채권
KR7385550009,KBSTAR 단기종합채권(AA-이상)액티브,채권,한국 채권,한국 단기채권
KR7438330003,TIGER 투자등급회사채액티브,채권,한국 채권,한국 회사채권
KR7440640001,ACE 단기채권알파액티브,채권,한국 채권,한국 단기채권
KR7448880005,ACE 24-12 회사채(AA-이상)액티브,채권,한국 채권,한국 회사채권
KR7461270001,ACE 26-06 회사채(AA-이상)액티브,채권,한국 채권,한국 회사채권
KR9999990000,예금,유동성,원화 유동성,원화 유동성
KR9CA1480020,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA1780017,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA1880018,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA1980019,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA2080017,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA2180016,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA2680021,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA2780020,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA2880018,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CA3180022,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB0380020,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB0780020,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB1080020,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB1180016,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB1480019,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB1580021,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB1680019,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB2480019,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB2580025,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CB3080021,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CD0980022,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CD1380021,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9CD1480022,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9D10280018,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9D32480024,증권금융(콜론),유동성,원화 유동성,원화 유동성
KR9D32880021,증권금융(콜론),유동성,원화 유동성,원화 유동성
KR9D32980019,증권금융(콜론),유동성,원화 유동성,원화 유동성
KR9D33080021,증권금융(콜론),유동성,원화 유동성,원화 유동성
KR9D33180045,증권금융(콜론),유동성,원화 유동성,원화 유동성
KR9D40380021,증권금융(콜론),유동성,원화 유동성,원화 유동성
US46090F1003,INVESCO OPTIMUM YIELD DIVERS,대체,원자재,글로벌 원자재
US4642861037,ISHARES MSCI AUSTRALIA ETF,주식,호주 주식,호주 주식
US4642871762,ISHARES BARCLAYS TIPS BOND,채권,미국 채권,미국 물가채권
US4642875987,ISHARES RUSSELL 1000 VALUE E,주식,미국 주식,미국 가치주
US4642876142,ISHARES RUSSELL 1000 GROWTH,주식,미국 주식,미국 성장주
US4642877397,ISHARES US REAL ESTATE ETF,대체,부동산,미국 부동산
US46434V6478,ISHARES GLOBAL REIT ETF,대체,부동산,미국외 부동산
US78463X8552,SPDR S&P Global Infrastructure,대체,인프라,글로벌 인프라
US78464A4094,SPDR S&P 500 Growth,주식,미국 주식,미국 성장주
US78464A5083,SPDR S&P 500 VALUE ETF,주식,미국 주식,미국 가치주
US8085247067,Schwab Emerging Markets Equity ETF,주식,신흥국 주식,신흥국 주식
US9219438580,VANGUARD FTSE DEVELOPED ETF,주식,선진국 주식,선진국 주식
US9220428588,VANGUARD FTSE EMERGING MARKETS,주식,신흥국 주식,신흥국 주식
US9229087369,VANGUARD GROWTH ETF,주식,미국 주식,미국 성장주
US9229087443,VANGUARD VALUE ETF,주식,미국 주식,미국 가치주
USMUSD022001,USD DEPOSIT,유동성,외화 유동성,외화 유동성
(비어 있음),#N/A,,,
1792100,미수외국납부원천세환급액,유동성,외화 유동성,외화 유동성
KR9DA2080029,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9DB1780010,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR9DB2380003,삼성증권(콜론),유동성,원화 유동성,원화 유동성
KR7411060007,ACE KRX금현물,대체,원자재,금
KR7332500008,ACE 200TR,주식,한국 주식,한국 주식
KR7152380002,KODEX 국채선물10년,채권,한국 채권,한국 10년국고채권
KR7471230003,KODEX 국고채10년액티브,채권,한국 채권,한국 10년국고채권
US78463V1070,SPDR Gold Trust,대체,원자재,금
US78468R6229,SPDR Bloomberg High Yield Bond ETF,채권,미국 채권,미국 하이일드채권
KR7438570004,SOL 국고채10년,채권,한국 채권,한국 10년국고채권
