리밸런싱날짜,펀드설명,US9229087369,US9229087443,US9219438580,US9220428588,US4642861037,US9229085538,US9220426764,US78463X8552,US46090F1003,KR7273130005,KR7356540005,KR7385540000,KR7385550009,KR7152380002,US4642871762
2022-10-05,TIF,0.192336137,0.114309263,0.029860926,0.023456933,0,0,0,0,0,0.213345581,0.213345581,0.213345581,0,0,0
2022-10-05,TDF2030,0.245312136,0.145793596,0.029860926,0.038142596,0,0,0,0,0,0.159462899,0.159462899,0.159462899,0,0.062502049,0
2022-10-05,TDF2035,0.281266876,0.167162262,0.029860926,0.04810939,0,0,0,0,0,0.126594619,0.126594619,0.126594619,0,0.093816689,0
2022-10-05,TDF2040,0.312052743,0.185459423,0.029860926,0.056643579,0,0,0,0,0,0.099748509,0.099748509,0.099748509,0,0.116737801,0
2022-10-05,TDF2045,0.339846434,0.201977822,0.030916563,0.063292557,0,0,0,0,0,0.077261685,0.077261685,0.077261685,0,0.132181569,0
2022-10-05,TDF2050,0.365978174,0.217509909,0.033293916,0.068161507,0,0,0,0,0,0.058211098,0.058211098,0.058211098,0,0.140423199,0
2022-10-05,TDF2055,0.387362204,0.230217135,0.035239408,0.072141302,0,0,0,0,0,0.043250352,0.043250352,0.043250352,0,0.145288895,0
2022-10-05,TDF2060,0.403424798,0.239763444,0.036700813,0.075132741,0,0,0,0,0,0.031783061,0.031783061,0.031783061,0,0.149629021,0
2022-10-05,MS STABLE,0.078425501,0.044140821,0.035013106,0.019040353,0.015564627,0.02,0.02,0.03,0.03,0.13170482,0.13170482,0.13170482,0.222509639,0,0.090191494
2022-10-05,MS GROWTH,0.253988901,0.143253271,0.113630474,0.062323853,0.029524235,0.02,0.02,0.03,0.03,0.049389307,0.049389307,0.049389307,0.083441115,0,0.065670229
