"리밸런싱날짜","펀드설명","ISIN","weight","설정일","자산군_대","자산군_소"
2023-05-12,"ACETDF_2025","US9229087369",0.1852,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2025","US9229087443",0.0959,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2025","US9219438580",0.0164,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2025","US9220428588",0.032,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2025","US78463V1070",0.0617,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2025","KR7356540005",0.5985,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2025","KR7152380002",0.0102,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2030","US9229087369",0.228,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2030","US9229087443",0.118,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2030","US9219438580",0.0202,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2030","US9220428588",0.0393,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2030","US78463V1070",0.076,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2030","KR7356540005",0.4663,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2030","KR7152380002",0.0523,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2035","US9229087369",0.2665,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2035","US9229087443",0.1379,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2035","US9219438580",0.0236,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2035","US9220428588",0.046,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2035","US78463V1070",0.0888,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2035","KR7356540005",0.3564,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2035","KR7152380002",0.0808,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2040","US9229087369",0.3029,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2040","US9229087443",0.1567,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2040","US9219438580",0.0268,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2040","US9220428588",0.0522,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2040","US78463V1070",0.101,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2040","KR7356540005",0.2635,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2040","KR7152380002",0.0968,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2045","US9229087369",0.3375,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2045","US9229087443",0.1746,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2045","US9219438580",0.0299,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2045","US9220428588",0.0582,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2045","US78463V1070",0.1125,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2045","KR7356540005",0.1859,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2045","KR7152380002",0.1013,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2050","US9229087369",0.3698,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2050","US9229087443",0.1914,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2050","US9219438580",0.0328,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2050","US9220428588",0.0638,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2050","US78463V1070",0.1233,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2050","KR7356540005",0.1234,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2050","KR7152380002",0.0957,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2055","US9229087369",0.3993,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2055","US9229087443",0.2066,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2055","US9219438580",0.0354,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2055","US9220428588",0.0689,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2055","US78463V1070",0.1331,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2055","KR7356540005",0.0751,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2055","KR7152380002",0.0816,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2060","US9229087369",0.4258,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2060","US9229087443",0.2203,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2060","US9219438580",0.0377,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2060","US9220428588",0.0734,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2060","US78463V1070",0.1419,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2060","KR7356540005",0.0398,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2060","KR7152380002",0.0609,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2065","US9229087369",0.4485,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2065","US9229087443",0.2321,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2065","US9219438580",0.0397,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2065","US9220428588",0.0774,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2065","US78463V1070",0.1495,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2065","KR7356540005",0.0164,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2065","KR7152380002",0.0363,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2070","US9229087369",0.4632,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2070","US9229087443",0.2397,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2070","US9219438580",0.041,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2070","US9220428588",0.0799,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2070","US78463V1070",0.1544,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2070","KR7356540005",0.0049,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2070","KR7152380002",0.0167,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2075","US9229087369",0.4676,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2075","US9229087443",0.242,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2075","US9219438580",0.0414,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2075","US9220428588",0.0807,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2075","US78463V1070",0.1559,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2075","KR7356540005",0.0018,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2075","KR7152380002",0.0107,2023-05-12,"채권","한국 10년국고채권"
2023-05-12,"ACETDF_2080","US9229087369",0.4687,2023-05-12,"주식","미국 성장주"
2023-05-12,"ACETDF_2080","US9229087443",0.2426,2023-05-12,"주식","미국 가치주"
2023-05-12,"ACETDF_2080","US9219438580",0.0415,2023-05-12,"주식","선진국 주식"
2023-05-12,"ACETDF_2080","US9220428588",0.0809,2023-05-12,"주식","신흥국 주식"
2023-05-12,"ACETDF_2080","US78463V1070",0.1562,2023-05-12,"대체","금"
2023-05-12,"ACETDF_2080","KR7356540005",6e-04,2023-05-12,"채권","한국 종합채권"
2023-05-12,"ACETDF_2080","KR7152380002",0.0095,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2025","US9229087369",0.1585,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2025","US9229087443",0.1154,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2025","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2025","US9220428588",0.0169,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2025","US78463V1070",0.0528,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2025","KR7356540005",0.6223,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2025","KR7152380002",0.006,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2030","US9229087369",0.198,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2030","US9229087443",0.1442,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2030","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2030","US9220428588",0.0281,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2030","US78463V1070",0.066,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2030","KR7356540005",0.5049,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2030","KR7152380002",0.0308,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2035","US9229087369",0.2332,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2035","US9229087443",0.1698,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2035","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2035","US9220428588",0.0381,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2035","US78463V1070",0.0777,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2035","KR7356540005",0.4053,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2035","KR7152380002",0.0477,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2040","US9229087369",0.2663,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2040","US9229087443",0.1939,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2040","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2040","US9220428588",0.0475,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2040","US78463V1070",0.0888,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2040","KR7356540005",0.3179,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2040","KR7152380002",0.0575,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2045","US9229087369",0.2978,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2045","US9229087443",0.2169,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2045","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2045","US9220428588",0.0565,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2045","US78463V1070",0.0993,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2045","KR7356540005",0.2409,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2045","KR7152380002",0.0606,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2050","US9229087369",0.3273,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2050","US9229087443",0.2384,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2050","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2050","US9220428588",0.0649,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2050","US78463V1070",0.1091,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2050","KR7356540005",0.1744,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2050","KR7152380002",0.0578,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2055","US9229087369",0.3544,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2055","US9229087443",0.2581,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2055","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2055","US9220428588",0.0726,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2055","US78463V1070",0.1181,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2055","KR7356540005",0.1186,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2055","KR7152380002",0.0501,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2060","US9229087369",0.3788,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2060","US9229087443",0.2759,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2060","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2060","US9220428588",0.0795,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2060","US78463V1070",0.1263,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2060","KR7356540005",0.073,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2060","KR7152380002",0.0384,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2065","US9229087369",0.4001,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2065","US9229087443",0.2914,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2065","US9219438580",0.0289,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2065","US9220428588",0.0847,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2065","US78463V1070",0.1334,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2065","KR7356540005",0.0373,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2065","KR7152380002",0.0241,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2070","US9229087369",0.4155,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2070","US9229087443",0.3026,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2070","US9219438580",0.03,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2070","US9220428588",0.0879,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2070","US78463V1070",0.1385,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2070","KR7356540005",0.0143,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2070","KR7152380002",0.0112,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2075","US9229087369",0.4205,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2075","US9229087443",0.3062,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2075","US9219438580",0.0304,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2075","US9220428588",0.089,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2075","US78463V1070",0.1402,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2075","KR7356540005",0.007,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2075","KR7152380002",0.0067,2023-05-12,"채권","한국 10년국고채권"
2023-12-28,"ACETDF_2080","US9229087369",0.4221,2023-05-12,"주식","미국 성장주"
2023-12-28,"ACETDF_2080","US9229087443",0.3074,2023-05-12,"주식","미국 가치주"
2023-12-28,"ACETDF_2080","US9219438580",0.0305,2023-05-12,"주식","선진국 주식"
2023-12-28,"ACETDF_2080","US9220428588",0.0893,2023-05-12,"주식","신흥국 주식"
2023-12-28,"ACETDF_2080","US78463V1070",0.1407,2023-05-12,"대체","금"
2023-12-28,"ACETDF_2080","KR7356540005",0.0046,2023-05-12,"채권","한국 종합채권"
2023-12-28,"ACETDF_2080","KR7152380002",0.0054,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2025","US9229087369",0.1585,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2025","US9229087443",0.1154,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2025","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2025","US9220428588",0.0169,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2025","US78463V1070",0.0528,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2025","KR7356540005",0.6223,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2025","KR7152380002",0.006,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2030","US9229087369",0.198,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2030","US9229087443",0.1442,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2030","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2030","US9220428588",0.0281,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2030","US78463V1070",0.066,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2030","KR7356540005",0.5049,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2030","KR7152380002",0.0308,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2035","US9229087369",0.2332,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2035","US9229087443",0.1698,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2035","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2035","US9220428588",0.0381,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2035","US78463V1070",0.0777,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2035","KR7356540005",0.4053,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2035","KR7152380002",0.0477,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2040","US9229087369",0.2663,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2040","US9229087443",0.1939,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2040","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2040","US9220428588",0.0475,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2040","US78463V1070",0.0888,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2040","KR7356540005",0.3179,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2040","KR7152380002",0.0575,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2045","US9229087369",0.2978,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2045","US9229087443",0.2169,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2045","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2045","US9220428588",0.0565,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2045","US78463V1070",0.0993,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2045","KR7356540005",0.2409,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2045","KR7152380002",0.0606,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2050","US9229087369",0.3273,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2050","US9229087443",0.2384,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2050","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2050","US9220428588",0.0649,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2050","US78463V1070",0.1091,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2050","KR7356540005",0.1744,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2050","KR7152380002",0.0578,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2055","US9229087369",0.3544,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2055","US9229087443",0.2581,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2055","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2055","US9220428588",0.0726,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2055","US78463V1070",0.1181,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2055","KR7356540005",0.1186,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2055","KR7152380002",0.0501,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2060","US9229087369",0.3788,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2060","US9229087443",0.2759,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2060","US9219438580",0.0281,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2060","US9220428588",0.0795,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2060","US78463V1070",0.1263,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2060","KR7356540005",0.073,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2060","KR7152380002",0.0384,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2065","US9229087369",0.4001,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2065","US9229087443",0.2914,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2065","US9219438580",0.0289,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2065","US9220428588",0.0847,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2065","US78463V1070",0.1334,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2065","KR7356540005",0.0373,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2065","KR7152380002",0.0241,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2070","US9229087369",0.4155,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2070","US9229087443",0.3026,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2070","US9219438580",0.03,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2070","US9220428588",0.0879,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2070","US78463V1070",0.1385,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2070","KR7356540005",0.0143,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2070","KR7152380002",0.0112,2023-05-12,"채권","한국 10년국고채권"
2024-11-22,"ACETDF_2075","US9229087369",0.4205,2023-05-12,"주식","미국 성장주"
2024-11-22,"ACETDF_2075","US9229087443",0.3062,2023-05-12,"주식","미국 가치주"
2024-11-22,"ACETDF_2075","US9219438580",0.0304,2023-05-12,"주식","선진국 주식"
2024-11-22,"ACETDF_2075","US9220428588",0.089,2023-05-12,"주식","신흥국 주식"
2024-11-22,"ACETDF_2075","US78463V1070",0.1402,2023-05-12,"대체","금"
2024-11-22,"ACETDF_2075","KR7356540005",0.007,2023-05-12,"채권","한국 종합채권"
2024-11-22,"ACETDF_2075","KR7152380002",0.0067,2023-05-12,"채권","한국 10년국고채권"
2024-11-08,"ACETDF_2080","US9229087369",0.4221,2023-05-12,"주식","미국 성장주"
2024-11-08,"ACETDF_2080","US9229087443",0.3074,2023-05-12,"주식","미국 가치주"
2024-11-08,"ACETDF_2080","US9219438580",0.0305,2023-05-12,"주식","선진국 주식"
2024-11-08,"ACETDF_2080","US9220428588",0.0893,2023-05-12,"주식","신흥국 주식"
2024-11-08,"ACETDF_2080","US78463V1070",0.1407,2023-05-12,"대체","금"
2024-11-08,"ACETDF_2080","KR7356540005",0.0046,2023-05-12,"채권","한국 종합채권"
2024-11-08,"ACETDF_2080","KR7152380002",0.0054,2023-05-12,"채권","한국 10년국고채권"
